,GEO_0,GEO_1,GEO_2,workers_tot,drive_alone_pct,carpool_pct,pub_trans_pct,walk_pct,bike_pct,taxi_moto_pct,wfh_pct,mean_travel_time
147,Ohio,Butler County,Census Tract 10.01,1960,85.1,0.0,0.0,3.9,0.0,0.9,10.2,19.7
148,Ohio,Butler County,Census Tract 10.02,2110,60.1,14.9,1.7,3.5,1.1,8.6,10.1,32.4
149,Ohio,Butler County,Census Tract 11,2182,79.8,10.9,0.0,2.4,0.0,4.1,2.7,29.2
150,Ohio,Butler County,Census Tract 13,1871,72.0,17.4,0.0,1.7,0.0,0.5,8.4,28.9
151,Ohio,Butler County,Census Tract 101.02,1121,64.7,13.0,0.9,8.9,0.3,2.8,9.5,22.1
152,Ohio,Butler County,Census Tract 101.03,2213,68.7,8.4,4.8,4.2,7.0,0.0,6.9,18.3
153,Ohio,Butler County,Census Tract 101.04,1441,22.6,6.8,0.0,34.1,6.4,0.0,30.2,11.1
154,Ohio,Butler County,Census Tract 101.05,1113,56.8,11.9,0.0,23.4,1.3,0.0,6.6,12.8
155,Ohio,Butler County,Census Tract 101.06,1082,57.8,0.0,0.0,28.2,3.5,0.0,10.5,10.2
156,Ohio,Butler County,Census Tract 102.01,497,16.9,2.4,0.0,35.6,4.2,0.0,40.8,8.4
157,Ohio,Butler County,Census Tract 102.02,2215,77.6,8.1,0.0,1.7,0.0,0.0,12.6,26.1
158,Ohio,Butler County,Census Tract 102.03,2770,70.1,14.5,0.0,0.0,0.0,0.0,15.3,29.4
159,Ohio,Butler County,Census Tract 103.01,2078,77.2,6.3,0.0,0.1,0.0,0.0,16.4,28.7
160,Ohio,Butler County,Census Tract 103.02,1678,76.4,6.9,0.0,0.0,0.0,0.0,16.7,31.3
161,Ohio,Butler County,Census Tract 105,790,81.5,12.8,0.0,0.9,0.0,1.0,3.8,26.5
162,Ohio,Butler County,Census Tract 106,1598,76.8,3.9,0.1,1.1,0.0,0.0,18.0,26.0
