,GEO_0,GEO_1,GEO_2,hu_tot,hu_occ,hu_vacant,1u_detached,1u_attached,2u,3_4u,5_9u,10_19u,20_plusu,mobile_home,boat_rv_van,owner_occ,renter_occ,owner_median_value,renter_median_rent,hu_0_veh,hu_1_veh,hu_2_veh,hu_3plus_veh,0_veh_pct,1_veh_pct,2_veh_pct,3plus_veh_pct
63,Kentucky,Lawrence County,,7604,6342,1262,4318,62,34,106,210,90,59,2716,9,4934,1408,111700.0,760.0,356,2205,2165,1616,0.056133711762850834,0.347682119205298,0.34137496058025857,0.25480920845159255
64,Kentucky,Lee County,,3229,2595,634,2241,0,40,41,72,20,54,753,8,2017,578,83900.0,603.0,341,728,790,736,0.13140655105973026,0.28053949903660885,0.3044315992292871,0.2836223506743738
65,Kentucky,Leslie County,,4925,4231,694,3251,36,2,0,0,40,37,1559,0,3619,612,69000.0,585.0,329,1400,1406,1096,0.07775939494209406,0.3308910423067833,0.33230914677381235,0.2590404159773103
66,Kentucky,Letcher County,,10603,8463,2140,6671,38,93,63,99,90,77,3426,46,6274,2189,67400.0,669.0,549,3083,2811,2020,0.06487061325771003,0.3642916223561385,0.33215171924849346,0.23868604513765804
67,Kentucky,Lewis County,,6066,5019,1047,4177,14,107,60,212,23,4,1443,26,3974,1045,96000.0,751.0,193,1606,1716,1504,0.03845387527395896,0.31998406056983464,0.34190077704722055,0.2996612871089859
68,Kentucky,Lincoln County,,10938,9705,1233,7711,131,179,248,169,25,19,2449,7,7417,2288,147300.0,698.0,512,2853,3399,2941,0.05275631117980423,0.29397217928902625,0.35023183925811435,0.3030396702730551
69,Kentucky,Livingston County,,4640,3603,1037,3368,46,37,8,13,22,7,1139,0,2925,678,125600.0,926.0,115,1000,1491,997,0.031917846239245075,0.2775464890369137,0.4138218151540383,0.27671384956980294
70,Kentucky,Logan County,,12473,11005,1468,9764,120,465,361,232,23,114,1384,10,8175,2830,164900.0,751.0,682,2722,4115,3486,0.061971830985915494,0.2473421172194457,0.3739209450249886,0.31676510676965014
71,Kentucky,Lyon County,,4847,3419,1428,3488,42,71,211,148,56,36,795,0,2749,670,189500.0,747.0,230,836,1408,945,0.06727113190991518,0.24451594033343083,0.4118163205615677,0.2763966071950863
72,Kentucky,McCracken County,,32280,27601,4679,21518,796,1577,1618,1699,482,1476,3064,50,19024,8577,188100.0,898.0,1709,9268,10638,5986,0.06191804644759248,0.3357849353284301,0.38542081808630124,0.21687620013767617
