,GEO_0,GEO_1,GEO_2,GEO_3,work_pop,labor,civilian,employed,unemployed,armed_forces,not_labor,unemp_rate,labor_pct,civilian_pct,employed_pct,unemployed_pct,armed_forces_pct,not_labor_pct
3403,Kentucky,Warren County,Census Tract 103,Block Group 1,616,348,348,345,3,0,268,0.008620689655172414,0.564935064935065,0.564935064935065,0.560064935064935,0.00487012987012987,0.0,0.43506493506493504
3404,Kentucky,Warren County,Census Tract 103,Block Group 2,1007,523,523,453,70,0,484,0.1338432122370937,0.519364448857994,0.519364448857994,0.44985104270109233,0.06951340615690169,0.0,0.48063555114200596
3405,Kentucky,Warren County,Census Tract 103,Block Group 3,1010,866,866,807,59,0,144,0.06812933025404157,0.8574257425742574,0.8574257425742574,0.799009900990099,0.05841584158415842,0.0,0.14257425742574256
3406,Kentucky,Warren County,Census Tract 103,Block Group 4,532,395,395,346,49,0,137,0.1240506329113924,0.7424812030075187,0.7424812030075187,0.650375939849624,0.09210526315789473,0.0,0.2575187969924812
3407,Kentucky,Warren County,Census Tract 104,Block Group 1,4335,2181,2181,2030,151,0,2154,0.06923429619440624,0.5031141868512111,0.5031141868512111,0.4682814302191465,0.03483275663206459,0.0,0.49688581314878894
3408,Kentucky,Warren County,Census Tract 105,Block Group 1,1030,582,582,551,31,0,448,0.05326460481099656,0.5650485436893203,0.5650485436893203,0.5349514563106796,0.030097087378640777,0.0,0.4349514563106796
3409,Kentucky,Warren County,Census Tract 105,Block Group 2,1559,1294,1294,1265,29,0,265,0.02241112828438949,0.8300192431045542,0.8300192431045542,0.8114175753688262,0.01860166773572803,0.0,0.1699807568954458
3410,Kentucky,Warren County,Census Tract 106,Block Group 1,1455,1156,1156,1121,35,0,299,0.03027681660899654,0.7945017182130584,0.7945017182130584,0.770446735395189,0.024054982817869417,0.0,0.20549828178694157
3411,Kentucky,Warren County,Census Tract 106,Block Group 2,1049,758,758,649,109,0,291,0.1437994722955145,0.7225929456625357,0.7225929456625357,0.6186844613918017,0.10390848427073403,0.0,0.27740705433746427
3412,Kentucky,Warren County,Census Tract 106,Block Group 3,1290,839,839,792,47,0,451,0.05601907032181168,0.6503875968992248,0.6503875968992248,0.6139534883720931,0.03643410852713178,0.0,0.3496124031007752
